summary_id,year,company_name,total_offers,ctc_lpa,raw_source_table
541,2023,Mudraksh & Mcshaw Advisory Llp,1,5,company_2023
542,2023,Mycaptain,1,6,company_2023
543,2023,Nagarro,9,4.5,company_2023
544,2023,Nbyula,1,10,company_2023
545,2023,New Gen,32,4.25,company_2023
546,2023,Newgenesis,1,7,company_2023
547,2023,Nf3x Labs Pte Ltd,1,24,company_2023
549,2023,Omnijobs,1,4.5,company_2023
550,2023,Onextel,4,5,company_2023
551,2023,Orane,5,5.25,company_2023
552,2023,Paytail,2,11,company_2023
553,2023,Phronesis Partners,5,4.5,company_2023
554,2023,Physics Wallah,1,4.8,company_2023
555,2023,Playo,1,9,company_2023
556,2023,Pocketfm,1,20,company_2023
557,2023,Pplwork,1,8,company_2023
558,2023,Prospecta,1,6,company_2023
559,2023,Punj Lloyd Group,2,3,company_2023
560,2023,Pysis,1,4.8,company_2023
561,2023,Qikfox,3,4,company_2023
562,2023,Qualtech,3,3.6,company_2023
563,2023,Quest Global,9,3.25,company_2023
564,2023,Quokka Labs,11,6,company_2023
565,2023,Racl,6,3,company_2023
566,2023,Rate Gain,2,6,company_2023
567,2023,Rdc Concrete (India) Pvt Ltd,1,4,company_2023
568,2023,Remotestate,1,5,company_2023
569,2023,Rhampage,1,8.4,company_2023
570,2023,Rtc Tek,2,3.5,company_2023
571,2023,Rxlogix,8,6,company_2023
572,2023,S&P Global,4,9,company_2023
573,2023,Sage Technologies,1,3.5,company_2023
574,2023,Saitech,1,2.5,company_2023
575,2023,Samagra- Transforming Governance,1,18,company_2023
576,2023,Samsung Electronics,13,7.5,company_2023
577,2023,Samsung Heavy Industries India,7,6.7,company_2023
578,2023,Samvardhan Motherson International Limited,5,3.1,company_2023
579,2023,Smartcare,1,4,company_2023
580,2023,Soft Pro India,1,4.2,company_2023
581,2023,Spurtree,4,4,company_2023
582,2023,St Microelectronics Ltd.,1,3.6,company_2023
583,2023,Stoa,1,7.5,company_2023
584,2023,Successive Technologies Pvt Ltd,3,5.5,company_2023
585,2023,Super Share,2,23,company_2023
586,2023,Talent Serve,69,10,company_2023
587,2023,Target,2,8.02,company_2023
588,2023,Tcs-Digital,7,7.01,company_2023
589,2023,Tcs-Ninja,48,3.36,company_2023
590,2023,Technify,1,15,company_2023
591,2023,Techryde,4,4,company_2023
592,2023,Telgoo 5,5,3.5,company_2023
593,2023,Tezos,1,5.88,company_2023
594,2023,Think Future,1,5.5,company_2023
595,2023,Timex,1,3.25,company_2023
596,2023,Torrent Gas,2,3.75,company_2023
597,2023,Torrent Power,2,3.75,company_2023
598,2023,Ub,1,10,company_2023
599,2023,Ucertify,2,4,company_2023
600,2023,Ultimate Kronos Group,8,15,company_2023
601,2023,Uni Converge Technologies,1,4,company_2023
602,2023,Unthinkable,5,5,company_2023
603,2023,Uproar Learning,4,4.5,company_2023
604,2023,Vinculum Solutions,3,5,company_2023
605,2023,Visdum,1,3,company_2023
606,2023,Wayspire Ed Tech Pvt. Ltd.,3,3.5,company_2023
607,2023,Webkul,5,3.6,company_2023
608,2023,Win Home,2,4,company_2023
610,2023,Z-Scaler,4,25,company_2023
609,2023,Zia Semiconductors,12,4.5,company_2023
611,2023,Zyla Health,1,5,company_2023
